Country,TotalDeath
Afghanistan,7946
Albania,3604
Algeria,6881
American Samoa,34
Andorra,159
Angola,1934
Anguilla,12
Antigua and Barbuda,146
Argentina,130472
Armenia,8751
Aruba,292
Australia,22887
Austria,22534
Azerbaijan,10302
Bahamas,844
Bahrain,1536
Bangladesh,29477
Barbados,620
Belarus,7118
Belgium,34339
Belize,688
Benin,163
Bermuda,165
Bhutan,21
Bolivia,22399
Bonaire Sint Eustatius and Saba,41
Bosnia and Herzegovina,16352
Botswana,2800
Brazil,704659
British Virgin Islands,64
Brunei,163
Bulgaria,38403
Burkina Faso,396
Burundi,15
Cambodia,3056
Cameroon,1974
Canada,53147
Cape Verde,415
Cayman Islands,37
Central African Republic,113
Chad,194
Chile,61605
China,121679
Colombia,142942
Comoros,160
Congo,389
Cook Islands,2
Costa Rica,9428
Cote d'Ivoire,835
Croatia,18318
Cuba,8530
Curacao,305
Cyprus,1364
Czechia,42831
Congo [Republic],1468
Denmark,8811
Djibouti,189
Dominica,74
Dominican Republic,4384
Ecuador,36042
Egypt,24830
El Salvador,4230
Equatorial Guinea,183
Eritrea,103
Estonia,2901
Eswatini,1427
Ethiopia,7574
Fiji,885
Finland,10185
France,167985
French Guiana,413
French Polynesia,649
Gabon,307
Gambia,372
Georgia,17132
Germany,174979
Ghana,1462
Gibraltar,113
Greece,37413
Greenland,21
Grenada,238
Guadeloupe,1021
Guam,416
Guatemala,20236
Guernsey,67
Guinea,468
Guinea-Bissau,177
Guyana,1299
Haiti,860
Honduras,11127
Hungary,48803
Iceland,186
India,532030
Indonesia,161918
Iran,146336
Iraq,25375
Ireland,9209
Isle of Man,116
Israel,12670
Italy,191469
Jamaica,3600
Japan,74694
Jersey,161
Jordan,14122
Kazakhstan,19072
Kenya,5689
Kiribati,24
Kosovo,3210
Kuwait,2570
Kyrgyzstan,1024
Laos,671
Latvia,7378
Lebanon,10947
Lesotho,706
Liberia,294
Libya,6437
Liechtenstein,87
Lithuania,9704
Luxembourg,1000
Madagascar,1425
Malawi,2686
Malaysia,37187
Maldives,316
Mali,743
Malta,877
Marshall Islands,17
Martinique,1104
Mauritania,997
Mauritius,1053
Mayotte,187
Mexico,334518
Micronesia (country),65
Moldova,12126
Monaco,67
Mongolia,2284
Montenegro,2654
Montserrat,8
Morocco,16297
Mozambique,2243
Myanmar,19494
Namibia,4098
Nauru,1
Nepal,12031
Netherlands,22986
New Caledonia,314
New Zealand,3309
Nicaragua,245
Niger,315
Nigeria,3155
Macedonia [FYROM],9941
Northern Mariana Islands,41
Norway,5653
Oman,4628
Pakistan,30656
Palau,9
Palestine,5708
Panama,8652
Papua New Guinea,670
Paraguay,19967
Peru,221674
Philippines,66681
Poland,119642
Portugal,27247
Puerto Rico,5938
Qatar,690
Reunion,921
Romania,68296
Russia,400023
Rwanda,1468
Saint Barthelemy,5
Saint Kitts and Nevis,46
Saint Lucia,409
Saint Martin (French part),46
Saint Pierre and Miquelon,2
Saint Vincent and the Grenadines,124
Samoa,31
San Marino,126
Sao Tome and Principe,80
Saudi Arabia,9646
Senegal,1971
Serbia,18057
Seychelles,172
Sierra Leone,125
Singapore,1872
Sint Maarten (Dutch part),92
Slovakia,21167
Slovenia,9435
Solomon Islands,153
Somalia,1361
South Africa,102595
South Korea,35934
South Sudan,138
Spain,121852
Sri Lanka,16882
Sudan,5046
Suriname,1408
Sweden,24767
Switzerland,14052
Syria,3163
Tajikistan,125
Tanzania,846
Thailand,34471
Togo,290
Tonga,12
Trinidad and Tobago,4390
Tunisia,29423
Turkey,101419
Turks and Caicos Islands,39
Tuvalu,1
Uganda,3632
Ukraine,109904
United Arab Emirates,2349
United Kingdom,229307
United States of America,1127152
United States Virgin Islands,132
Uruguay,7634
Uzbekistan,1016
Vanuatu,14
Venezuela,5856
Vietnam,43206
Wallis and Futuna,8
Yemen,2159
Zambia,4069
Zimbabwe,5718
